category,city,full,title,text,county,press,link,date
no-cat,Baia Mare,,Plantele recomandate pentru alergiile sezoniere care „explodează“ primăvara,"A venit primăvara, iar
alergiile încep să-şi facă de cap. În curând, persoanele alergice nu vor mai
putea ieşi din casă din cauza alergiilor.
Există însă câteva plante ce conţin substanţe care inhibă eliberarea histaminei,
resposabilă cu manifestarea alergiei.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/plantele-recomandate-alergiile-sezoniere-explodeaza-primavara-1_57122d9a5ab6550cb80ad219/index.html,2016-04-17 00:00:00
no-cat,Baia Mare,,O altercaţie între două grupuri de romi la Baia Mare a degenerat într-un scandal amplu cu forţele de ordine,"O altercaţie între două grupuri de romi, începută sâmbătă noapte, pe o stradă din Baia Mare, a degenerat într-un amplu conflict între susţinători ai ambelor grupări - în jur de 150 de persoane - şi forţele de ordine. Poliţiştii au tras focuri de armă, iar în timpul scandalului maşini ale Poliţiei şi Jandarmeriei au fost avariate.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/o-altercatie-doua-grupuri-romi-baia-mare-degenerat-intr-un-scandal-amplu-fortele-ordine-1_571353185ab6550cb8120b12/index.html,2016-04-17 00:00:00
no-cat,Baia Mare,,"Poliţia,
la ”Şcoala altfel”. Concurs de biciclete, lecţii de criminalistică şi ”Job Shadow
Day„","Ore de educaţie rutieră,
lecţii de criminalistică, consiliere educaţională, expoziţie de desene, picturi
şi concurs de biciclete, sunt activităţile în care azi, 19 aprilie, a doua zi
din săptămâna ,,Şcoala Altfel”, au fost implicaţi poliţiştii Inspectoratului de
Poliţie al Judeţului Maramureş.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/politiala-Scoala-altfel-concurs-biciclete-lectii-criminalistica-job-shadowday-1_571655ab5ab6550cb8267535/index.html,2016-04-19 00:00:00
no-cat,Baia Mare,,"Averea primarului Cherecheş. Donaţia de 1,5 milioane de euro pentru care
a fost verificat de ANI","Candidatul din partea Coaliţiei pentru Baia Mare la fotoliul de primar,
Cătălin Cherecheş, pare a fi cel mai înstărit dinte candidaţi. El este primar
din 2011, când a fost alegeri parţiale şi ar urma al treilea mandat, dacă ar
câştiga alegerile.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/averea-primarului-chereches-donatia-15-milioane-euro-carea-fost-verificat-ani-1_571755d15ab6550cb82cda9c/index.html,2016-04-20 00:00:00
no-cat,Baia Mare,,"”Drumul lânii”,
proiectul în care elevii de la Şcoala ”Lucian Blaga” descoperă tainele lânii","Elevii Şcolii ”Lucian
Blaga” din Baia Mare au participat la un proiect dedicat cunoaşterii unor
meşteşuguri străvechi. Denumit ”Drumul lânii” proiectul vizează iniţierea celor
mici în tainele lânii, de la tors şi până la ţesătură. În cadrul manifestărilor,
elevii vor descoperi toate fazele prin care este trecută lâna, până ajunge un
obiect de îmbrăcăminte, dar vor face şi vizite în satele din Maramureş.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/drumul-laniiproiectul-elevii-Scoala-lucian-blaga-descopera-tainele-lanii-1_571661065ab6550cb826d4f2/index.html,2016-04-19 00:00:00
no-cat,Baia Mare,,"„Analgezicele“ din cămară
care ne vin în ajutor în cazul arsurilor solare","În curând se încălzeşte
vremea şi soarele ne invită să ieşim la plajă, însă prima ieşire la soare se
poate lăsa şi cu arsuri, dacă nu sutem atenţi. Dacă ajungem în situaţia asta,
câteva ingrediente din cămară ne pot fi de mare flos. Cartoful şi castravetele
sunt printre ele.",Maramureş,Adevarul,http://adevarul.ro/locale/baia-mare/analgezicele-camaracare-vin-ajutor-cazul-arsurilor-solare-1_571651da5ab6550cb8265679/index.html,2016-04-20 00:00:00
no-cat,Satu Mare,,VIDEO Cravate-unicat produse de o tânără de 23 de ani din Satu Mare: „Le fac cu pasiune şi pun mult suflet“,O sătmăreanca e determinată „să le pun nod în gât“ celor care-şi doresc să poarte o piesă vestimentară unicat. Tânăra a obţinut finanţare pentru proiectul ei de la Uniunea Europeană.,Satu-Mare,Adevarul,http://adevarul.ro/locale/satu-mare/cravate-unicat-produse-tanara-23-ani-satu-mare-le-fac-pasiune-pun-suflet-1_56f937865ab6550cb8518870/index.html,2016-03-28 00:00:00
no-cat,Târgu-Jiu,,"Drumul care traversează Defileul Jiului, blocat de stânci şi copaci","Doi copaci au căzut, miercuri dimineaţă, pe Drumul Naţional 66, în zona Defileului Jiului din cauza vântului puternic.",Gorj,Adevarul,http://adevarul.ro/locale/targu-jiu/drumul-traverseaza-defileul-jiului-blocat-stanci-copaci-1_5717e3165ab6550cb8308883/index.html,2016-04-20 00:00:00
no-cat,Turnu-Severin,,"VIDEO Cum se ceartă consilierii locali la Drobeta Turnu Severin, la sfârşitul mandatului",Spiritele s-au încins miercuri după-amiază în şedinţa de Consiliu Local la Drobeta Turnu Severin. A fost penultima şedinţă a aleşilor locali din acest mandat.,Mehedinţi,Adevarul,http://adevarul.ro/locale/turnu-severin/cum-cearta-consilierii-locali-drobeta-turnu-severin-sfarsitul-mandatului-1_571773d15ab6550cb82dc2b0/index.html,2016-04-20 00:00:00
no-cat,Craiova,,Protest spontan la Spitalul CFR. Medicii: „Avem datorii istorice şi există riscul să fie blocată activitatea“,Cadrele medicale de la Spitalul CFR din Craiova au protestat astăzi faţă de situaţia financiară dezastruoasă a unităţii spitaliceşti.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/protest-spontan-spitalul-cfr-medicii-avem-datorii-istorice-exista-riscul-blocta-activitatea-1_5717a0475ab6550cb82efc64/index.html,2016-04-20 00:00:00
no-cat,Craiova,,Cum ne afecteaza nicotina şi ce alimente să consumăm pentru a elimina din organism această substanţă nocivă,Medicii susţin că nicotina este greu de eliminat din organism şi că produce dependenţă. Poate bloca celulele nervoase şi poate afecta sistemul nervos.,Dolj,Adevarul,http://adevarul.ro/locale/craiova/cum-afecteaza-nicotina-alimente-consumam-elimina-organism-substanta-nociva-1_570e65f75ab6550cb8f2ace3/index.html,2016-04-14 00:00:00
no-cat,Craiova,,"Cele opt reguli pe care le respectă toate persoanele slabe, spre deosebire de cele supraponderale, astfel încât nu iau în greutate - sfaturile specialiştilor","Medicii susţin că persoanele slabe gândesc altfel decât cele care au o greutate cu mult peste cea normală şi că au anumite reguli după care se ghidează. Nu ţin dietă sau regim alimentar, dar şi-au format obiceiuri alimentare sănătoase. Unul dintre aceste obiceiuri: niciodată nu sar peste micul dejun.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/cele-opt-reguli-respecta-persoanele-slabe-deosebire-cele-supraponderale-astfel-nu-iau-greutate-sfaturile-specialistilor-1_571327475ab6550cb810bd15/index.html,2016-04-18 00:00:00
no-cat,Craiova,,"Autostrada Craiova-Piteşti, amânată din nou, din lipsă de fonduri","Tronsonul de 120 de kilometri ar trebui să coste 2 miliarde de euro, iar constructorul ar trebui să îşi recupereze investiţia din taxa de la intrarea pe autostrada Craiova-Piteşti.",Dolj,Adevarul,http://adevarul.ro/locale/craiova/autostrada-craiova-pitesti-amanata-nou-lipsa-fonduri-1_5710826d5ab6550cb8008627/index.html,2016-04-15 00:00:00
