category,city,title,text,county,date,link,press
,,Băsescu admite propriul eşec în problema Roşia Montană şi aruncă vina pe primari: „Puteau utiliza bani europeni pentru locuri de muncă”,"Traian Băsescu a admis, duminică, la Alba Iulia că demersurile sale în problema Roşia Montană au fost „eşecuri”. Fostul preşedinte a afirmat că primarii din Apuseni puteau utiliza bani europeni pentru a crea alte tipuri de activităţi alternative la minerit.",Alba Iulia,04-10-16,http://adevarul.ro/locale/alba-iulia/basescu-admite-propriul-esec-problema-rosia-montana-arunca-vina-primari-puteau-utiliza-bani-europeni-locuri-munca-1_570a4cfe5ab6550cb8d461c7/index.html,Adevarul
,,Scandalul copiilor intoxicaţi la Bazinul Olimpic de Înot: Furnizorul Primăriei Bacău a trimis dezinfectant în loc de clor stabilizat,"Scandalul iscat după ce mai mulţi copii şi adulţi au fost intoxicaţi la Bazinul Olimpic de Înot are primii vinovaţi. Reprezentanţii Primăriei Bacău afirmă că furnizorul le-a trimis dezinfectant să pună în apă, în loc de clor stabilizat.",Bacău,03-30-16,http://adevarul.ro/locale/bacau/copiii-antreneaza-bazinul-olimpic-Inot-s-au-intoxicat-dezinfectant-primaria-bacau-putea-schimba-furnizorul-clor-1_56fbc6405ab6550cb864319f/index.html,Adevarul
,,Tânărul care a răpit şi a violat o elevă de 17 ani a fost arestat. Daniel Duma şi-a sechestrat fosta iubită într-0 maşină,"Daniel Duma, tânărul prins după ce şi-ar fi violat şi sechestrat fosta iubită, în vârstă de 17 ani, a fost arestat preventiv. Bărbatul din Petrila este acuzat de viol, lipsire de libertate şi loviri şi alte violenţe.",Hunedoara,04-06-16,http://adevarul.ro/locale/hunedoara/tanarul-rapit-violat-eleva-17-ani-fost-arestat-daniel-duma-si-a-sechestrat-fosta-iubita-intr-0-masina-1_5704c04a5ab6550cb8ab2e1d/index.html,Adevarul
,,"Ciudăţeniile strămoşilor noştri, descrise de Herodot: de ce erau lăsate fiicele tracilor să aibă legături trupeşti cu oricine îşi doreau","Istoricul antic Herodot a fost autorul celor mai impresionante relatări deste obiceiurile popoarelor care au stăpânit în urmă cu două milenii şi jumătate ţinuturi din actualul teritoriu al României. Mărturiile sale vorbesc despre cruzimea sciţilor, credinţa în nemurire a geţilor şi libertinajul tracilor şi oferă amănunte ciudate despre modul de viaţă al strămoşilor noştri.",Hunedoara,04-06-16,http://adevarul.ro/locale/hunedoara/ciudateniile-stramosilor-nostri-descrise-herodot-erau-lasate-fiicele-tracilor-legaturi-trupesti-isi-doreau-1_5703dfba5ab6550cb8a0ec06/index.html,Adevarul
,,"Interlopii care au trimis în comă la spital un tânăr, după ce l-au bătut în centrul Devei, au cerut eliberarea din arest","Tribunalul Hunedoara a decis menţinerea măsurii arestului preventiv al celor doi tineri, care în urmă cu două luni au fost reţinuţi după ce au snopit în bătaie un bărbat, chiar în centrul Devei. Sergiu Stoica şi Florin Flore au cerut eliberarea din închisoare.",Hunedoara,04-06-16,http://adevarul.ro/locale/hunedoara/interlopii-trimis-coma-spital-tanar-l-au-batut-centrul-devei-cerut-eliberarea-arest-1_57042f145ab6550cb8a49f97/index.html,Adevarul
,,"Leurda, minunea de primăvara a naturii. Fitoterapeut: „Este un mijloc depurativ neapreciat la justa valoare“","Legumele verzi şi proaspete sunt
cele mai indicate în perioada primăverii. Specialiştii spun că sunt eficiente pentru detoxifierea organismul, iar leurda este indicată
pentru aparatul digestiv şi chiar pentru rănile care se vindecă greu.",Târgu-Mureş,03-17-16,http://adevarul.ro/locale/targu-mures/leurda-minunea-primavara-naturii-fitoterapeut-este-mijloc-depurativ-neapreciat-justa-valoare-1_56e939675ab6550cb8e7b45b/index.html,Adevarul
,,"Cum să te
reprofilezi după zeci de ani de muncă în industria chimică. Maseorul de succes, cu sute de clienţi la Târgu-Mureş","A muncit o viaţă
în industria chimică, iar când s-a închis fabrica a bătut din poartă în poartă
să se angajeze. După un an, în care a fost la mai multe interviuri, Angela
Ştefan a decis să se întoarcă la o preocupare mai veche şi să devină maseor profesionist.",Târgu-Mureş,03-16-16,http://adevarul.ro/locale/targu-mures/cum-tereprofilezi-zeci-ani-munca-industria-chimica-maseorul-succes-sute-clienti-targu-mures-1_56e9837f5ab6550cb8e9c68a/index.html,Adevarul
,,De ce pocnesc articulaţiile şi când trebuie să ne îngrijorăm? Sfaturi de la specialişti,"Durerile de articulaţii, pocniturile şi schimbarea culorii
pielii în aceste zone ar trebui să ne îngrijoreze. Deşi la prima vedere poate
fi nevoie doar de un supliment de vitamine, dacă lucurile persistă e nevoie de
sfaturile şi tratamentele recomandate de specialişti.",Târgu-Mureş,03-21-16,http://adevarul.ro/locale/targu-mures/de-pocnesc-articulatiile-trebuie-ingrijoramj-sfaturi-specialisti-1_56ee82205ab6550cb8099b9f/index.html,Adevarul
,,Cum sunt angajaţi unii şoferi profesionişti în judeţul Mureş,Poliţişti mureşeni de la Serviciul Transporturi Mureş împreună cu criminalişti au percheziţionat mai multe domicii la persoane bănuite de fals material în înscrisuri oficiale şi uz de fals.,Târgu-Mureş,03-17-16,http://adevarul.ro/locale/targu-mures/cum-angajati-unii-soferi-profesionisti-judetul-mures-1_56ea7b3a5ab6550cb8efcb5c/index.html,Adevarul
,,Cauza accidentului aviatic de la Tăureni: Incapacitatea fizică de reacţie a pilotului,"Aprecierea eronată a înălţimii faţă de luciul apei sau incapacitatea fizică de reacţie a pilotului sunt cauzele probabile ale accidentului aviatic de la Tăureni, judeţul Mureş, în urma căruia cinci persoane au murit, se arată în raportul CIAS.",Târgu-Mureş,03-18-16,http://adevarul.ro/locale/targu-mures/cauza-accidentului-aviatic-taureni-incapacitatea-fizica-reactie-pilotului-1_56ebac025ab6550cb8f865fe/index.html,Adevarul
